qwertyuiop
asdfghjkl
zxcvbnm
qwer wert erty rtyu tyui yuio uiop iop
asdf sdfg dfgh fghj ghjk hjkl jkl kl
zxcv xcvb cvbn vbnm bnm nm m
qqqq wwww eeee rrrr
eyte reyr tret ytry
eytr reyt trey ytre
eytt reyy tree ytrr
eyty reye trer ytrt
eyye reer trrt ytty
eyyr reet trry ytte
eyyt reey trre yttr
eyyy reee trrr yttt
rrrr tttt yyyy uuuu
rrrt ttty yyyu uuur
rrry tttu yyyr uuut
rrru tttr yyyt uuuy
rrtr ttyt yyuy uuru
rryr ttut yyry uutu
rrur ttrt yyty uuyu
rtrr tytt yuyy uruu
ryrr tutt yryy utuu
rurr trtt ytyy uyuu
rrtt ttyy yyuu uurr
rryy ttuu yyrr uutt
rruu ttrr yytt uuyy
rrty ttyu yyur uurt
rrtu ttyr yyut uury
rryt ttuy yyru uutr
rryu ttur yyrt uuty
rrut ttry yytu uuyr
rruy ttru yytr uuyt
rtrt tyty yuyu urur
rtry tytu yuyr urut
rtru tytr yuyt uruy
rttr tyyt yuuy urru
rtty tyyu yuur urrt
rttu tyyr yuut urry
rttt tyyy yuuu urrr
rtyr tyuy yuru urtr
rtyt tyry yutu uryr
rtyy tyuu yurr urtt
rtyu tyur yurt urty
rtur tyrt yuty uryu
rtut tyry yutu uryr
rtuy tyru yutr uryt
rtuu tyrr yutt uryy
ryrt tuty yryu utur
ryry tutu yryr utut
ryru tutr yryt utuy
rytr tuyt yruy utru
rytt tuyy yruu utrr
ryty tuyu yrur utrt
rytu tuyr yrut utry
ryyr tuut yrry uttu
ryyt tuuy yrru uttr
ryyy tuuu yrrr uttt
ryyu tuur yrrt utty
ryur turt yrty utyu
ryut tury yrtu utyr
ryuy turu yrtr utyt
ryuu turr yrtt utyy
rurt trty ytyu uyur
rury trtu ytyr uyut
ruru trtr ytyt uyuy
rutr tryt ytuy uyru
rutt tryy ytuu uyrr
ruty tryu ytur uyrt
rutu tryr ytut uyry
ruyr trut ytry uytu
ruyt truy ytru uytr
ruyy truu ytrr uytt
ruyu trur ytrt uyty
ruur trrt ytty uyyu
ruut trry yttu uyyr
ruuy trru yttr uyyt
ruuu trrr yttt uyyy
tttt yyyy uuuu iiii
ttty yyyu uuui iiit
tttu yyyi uuut iiiy
ttti yyyt uuuy iiiu
ttyt yyuy uuiu iiti
ttut yyiy uutu iiyi
ttit yyty uuyu iiui
tytt yuyy uiuu itii
tutt yiyy utuu iyii
titt ytyy uyuu iuii
ttyy yyuu uuii iitt
ttuu yyii uutt iiyy
ttii yytt uuyy iiuu
ttyu yyui uuit iity
ttyi yyut uuiy iitu
ttuy yyiu uuti iiyt
ttui yyit uuty iiyu
ttiy yytu uuyi iiut
ttiu yyti uuyt iiuy
tyty yuyu uiui itit
tytu yuyi uiut itiy
tyti yuyt uiuy itiu
tyyt yuuy uiiu itti
tyyu yuui uiit itty
tyyi yuut uiiy ittu
tyyy yuuu uiii ittt
tyut yuiu uiti ityt
tyuy yutu uiyi itut
tyuu yuii uitt ityy
tyui yuit uity ityu
tyit yuty uiyu itui
tyiy yutu uiyi itut
tyiu yuti uiyt ituy
tyii yutt uiyy ituu
tuty yiyu utui iyit
tutu yiyi utut iyiy
tuti yiyt utuy iyiu
tuyt yiuy utiu iyti
tuyy yiuu utii iytt
tuyu yiui utit iyty
tuyi yiut utiy iytu
tuut yiiy uttu iyyi
tuuy yiiu utti iyyt
tuuu yiii uttt iyyy
tuui yiit utty iyyu
tuit yity utyu iyui
tuiy yitu utyi iyut
tuiu yiti utyt iyuy
tuii yitt utyy iyuu
tity ytyu uyui iuit
titu ytyi uyut iuiy
titi ytyt uyuy iuiu
tiyt ytuy uyiu iuti
tiyy ytuu uyii iutt
tiyu ytui uyit iuty
tiyi ytut uyiy iutu
tiut ytiy uytu iuyi
tiuy ytiu uyti iuyt
tiuu ytii uytt iuyy
tiui ytit uyty iuyu
tiit ytty uyyu iuui
tiiy yttu uyyi iuut
tiiu ytti uyyt iuuy
tiii yttt uyyy iuuu
yyyy uuuu iiii oooo
yyyu uuui iiio oooy
yyyi uuuo iiiy ooou
yyyo uuuy iiiu oooi
yyuy uuiu iioi ooyo
yyiy uuou iiyi oouo
yyoy uuyu iiui ooio
yuyy uiuu ioii oyoo
yiyy uouu iyii ouoo
yoyy uyuu iuii oioo
yyuu uuii iioo ooyy
yyii uuoo iiyy oouu
yyoo uuyy iiuu ooii
yyui uuio iioy ooyu
yyuo uuiy iiou ooyi
yyiu uuoi iiyo oouy
yyio uuoy iiyu ooui
yyou uuyi iiuo ooiy
yyoi uuyo iiuy ooiu
yuyu uiui ioio oyoy
yuyi uiuo ioiy oyou
yuyo uiuy ioiu oyoi
yuuy uiiu iooi oyyo
yuui uiio iooy oyyu
yuuo uiiy ioou oyyi
yuuu uiii iooo oyyy
yuiy uioi ioyo oyuy
yuiu uiyi iouo oyiy
yuii uioo ioyy oyuu
yuio uioy ioyu oyui
yuoy uiyu ioui oyio
yuou uiyi iouo oyiy
yuoi uiyo iouy oyiu
yuoo uiyy iouu oyii
yiyu uoui iyio ouoy
yiyi uouo iyiy ouou
yiyo uouy iyiu ouoi
yiuy uoiu iyoi ouyo
yiuu uoii iyoo ouyy
yiui uoio iyoy ouyu
yiuo uoiy iyou ouyi
yiiy uoou iyyi ouuo
yiiu uooi iyyo ouuy
yiii uooo iyyy ouuu
yiio uooy iyyu ouui
yioy uoyu iyui ouio
yiou uoyi iyuo ouiy
yioi uoyo iyuy ouiu
yioo uoyy iyuu ouii
yoyu uyui iuio oioy
yoyi uyuo iuiy oiou
yoyo uyuy iuiu oioi
youy uyiu iuoi oiyo
youu uyii iuoo oiyy
youi uyio iuoy oiyu
youo uyiy iuou oiyi
yoiy uyou iuyi oiuo
yoiu uyoi iuyo oiuy
yoii uyoo iuyy oiuu
yoio uyoy iuyu oiui
yooy uyyu iuui oiio
yoou uyyi iuuo oiiy
yooi uyyo iuuy oiiu
yooo uyyy iuuu oiii
uuuu iiii oooo pppp
uuui iiio ooop pppu
uuuo iiip ooou pppi
uuup iiiu oooi pppo
uuiu iioi oopo ppup
uuou iipi oouo ppip
uupu iiui ooio ppop
uiuu ioii opoo pupp
uouu ipii ouoo pipp
upuu iuii oioo popp
uuii iioo oopp ppuu
uuoo iipp oouu ppii
uupp iiuu ooii ppoo
uuio iiop oopu ppui
uuip iiou oopi ppuo
uuoi iipo ooup ppiu
uuop iipu ooui ppio
uupi iiuo ooip ppou
uupo iiup ooiu ppoi
uiui ioio opop pupu
uiuo ioip opou pupi
uiup ioiu opoi pupo
uiiu iooi oppo puup
uiio ioop oppu puui
uiip ioou oppi puuo
uiii iooo oppp puuu
uiou iopo opup puiu
uioi iouo opip puou
uioo iopp opuu puii
uiop iopu opui puio
uipu ioui opio puop
uipi iouo opip puou
uipo ioup opiu puoi
uipp iouu opii puoo
uoui ipio ouop pipu
uouo ipip ouou pipi
uoup ipiu ouoi pipo
uoiu ipoi oupo piup
uoii ipoo oupp piuu
uoio ipop oupu piui
uoip ipou oupi piuo
uoou ippi ouuo piip
uooi ippo ouup piiu
uooo ippp ouuu piii
uoop ippu ouui piio
uopu ipui ouio piop
uopi ipuo ouip piou
uopo ipup ouiu pioi
uopp ipuu ouii pioo
upui iuio oiop popu
upuo iuip oiou popi
upup iuiu oioi popo
upiu iuoi oipo poup
upii iuoo oipp pouu
upio iuop oipu poui
upip iuou oipi pouo
upou iupi oiuo poip
upoi iupo oiup poiu
upoo iupp oiuu poii
upop iupu oiui poio
uppu iuui oiio poop
uppi iuuo oiip poou
uppo iuup oiiu pooi
uppp iuuu oiii pooo
aaaa ssss dddd ffff
aaas sssd dddf fffa
aaad sssf ddda fffs
aaaf sssa ddds fffd
aasa ssds ddfd ffaf
aada ssfs ddad ffsf
aafa ssas ddsd ffdf
asaa sdss dfdd faff
adaa sfss dadd fsff
afaa sass dsdd fdff
aass ssdd ddff ffaa
aadd ssff ddaa ffss
aaff ssaa ddss ffdd
aasd ssdf ddfa ffas
aasf ssda ddfs ffad
aads ssfd ddaf ffsa
aadf ssfa ddas ffsd
aafs ssad ddsf ffda
aafd ssaf ddsa ffds
asas sdsd dfdf fafa
asad sdsf dfda fafs
asaf sdsa dfds fafd
assa sdds dffd faaf
assd sddf dffa faas
assf sdda dffs faad
asss sddd dfff faaa
asda sdfd dfaf fasa
asds sdad dfsf fada
asdd sdff dfaa fass
asdf sdfa dfas fasd
asfa sdas dfsd fadf
asfs sdad dfsf fada
asfd sdaf dfsa fads
asff sdaa dfss fadd
adas sfsd dadf fsfa
adad sfsf dada fsfs
adaf sfsa dads fsfd
adsa sfds dafd fsaf
adss sfdd daff fsaa
adsd sfdf dafa fsas
adsf sfda dafs fsad
adda sffs daad fssf
adds sffd daaf fssa
addd sfff daaa fsss
addf sffa daas fssd
adfa sfas dasd fsdf
adfs sfad dasf fsda
adfd sfaf dasa fsds
adff sfaa dass fsdd
afas sasd dsdf fdfa
afad sasf dsda fdfs
afaf sasa dsds fdfd
afsa sads dsfd fdaf
afss sadd dsff fdaa
afsd sadf dsfa fdas
afsf sada dsfs fdad
afda safs dsad fdsf
afds safd dsaf fdsa
afdd saff dsaa fdss
afdf safa dsas fdsd
affa saas dssd fddf
affs saad dssf fdda
affd saaf dssa fdds
afff saaa dsss fddd
ssss dddd ffff gggg
sssd dddf fffg gggs
sssf dddg fffs gggd
sssg ddds fffd gggf
ssds ddfd ffgf ggsg
ssfs ddgd ffsf ggdg
ssgs ddsd ffdf ggfg
sdss dfdd fgff gsgg
sfss dgdd fsff gdgg
sgss dsdd fdff gfgg
ssdd ddff ffgg ggss
ssff ddgg ffss ggdd
ssgg ddss ffdd ggff
ssdf ddfg ffgs ggsd
ssdg ddfs ffgd ggsf
ssfd ddgf ffsg ggds
ssfg ddgs ffsd ggdf
ssgd ddsf ffdg ggfs
ssgf ddsg ffds ggfd
sdsd dfdf fgfg gsgs
sdsf dfdg fgfs gsgd
sdsg dfds fgfd gsgf
sdds dffd fggf gssg
sddf dffg fggs gssd
sddg dffs fggd gssf
sddd dfff fggg gsss
sdfs dfgf fgsg gsds
sdfd dfsf fgdg gsfs
sdff dfgg fgss gsdd
sdfg dfgs fgsd gsdf
sdgs dfsd fgdf gsfg
sdgd dfsf fgdg gsfs
sdgf dfsg fgds gsfd
sdgg dfss fgdd gsff
sfsd dgdf fsfg gdgs
sfsf dgdg fsfs gdgd
sfsg dgds fsfd gdgf
sfds dgfd fsgf gdsg
sfdd dgff fsgg gdss
sfdf dgfg fsgs gdsd
sfdg dgfs fsgd gdsf
sffs dggd fssf gddg
sffd dggf fssg gdds
sfff dggg fsss gddd
sffg dggs fssd gddf
sfgs dgsd fsdf gdfg
sfgd dgsf fsdg gdfs
sfgf dgsg fsds gdfd
sfgg dgss fsdd gdff
sgsd dsdf fdfg gfgs
sgsf dsdg fdfs gfgd
sgsg dsds fdfd gfgf
sgds dsfd fdgf gfsg
sgdd dsff fdgg gfss
sgdf dsfg fdgs gfsd
sgdg dsfs fdgd gfsf
sgfs dsgd fdsf gfdg
sgfd dsgf fdsg gfds
sgff dsgg fdss gfdd
sgfg dsgs fdsd gfdf
sggs dssd fddf gffg
sggd dssf fddg gffs
sggf dssg fdds gffd
sggg dsss fddd gfff
dddd ffff gggg hhhh
dddf fffg gggh hhhd
dddg fffh gggd hhhf
dddh fffd gggf hhhg
ddfd ffgf gghg hhdh
ddgd ffhf ggdg hhfh
ddhd ffdf ggfg hhgh
dfdd fgff ghgg hdhh
dgdd fhff gdgg hfhh
dhdd fdff gfgg hghh
ddff ffgg gghh hhdd
ddgg ffhh ggdd hhff
ddhh ffdd ggff hhgg
ddfg ffgh gghd hhdf
ddfh ffgd gghf hhdg
ddgf ffhg ggdh hhfd
ddgh ffhd ggdf hhfg
ddhf ffdg ggfh hhgd
ddhg ffdh ggfd hhgf
dfdf fgfg ghgh hdhd
dfdg fgfh ghgd hdhf
dfdh fgfd ghgf hdhg
dffd fggf ghhg hddh
dffg fggh ghhd hddf
dffh fggd ghhf hddg
dfff fggg ghhh hddd
dfgd fghg ghdh hdfd
dfgf fgdg ghfh hdgd
dfgg fghh ghdd hdff
dfgh fghd ghdf hdfg
dfhd fgdf ghfg hdgh
dfhf fgdg ghfh hdgd
dfhg fgdh ghfd hdgf
dfhh fgdd ghff hdgg
dgdf fhfg gdgh hfhd
dgdg fhfh gdgd hfhf
dgdh fhfd gdgf hfhg
dgfd fhgf gdhg hfdh
dgff fhgg gdhh hfdd
dgfg fhgh gdhd hfdf
dgfh fhgd gdhf hfdg
dggd fhhf gddg hffh
dggf fhhg gddh hffd
dggg fhhh gddd hfff
dggh fhhd gddf hffg
dghd fhdf gdfg hfgh
dghf fhdg gdfh hfgd
dghg fhdh gdfd hfgf
dghh fhdd gdff hfgg
dhdf fdfg gfgh hghd
dhdg fdfh gfgd hghf
dhdh fdfd gfgf hghg
dhfd fdgf gfhg hgdh
dhff fdgg gfhh hgdd
dhfg fdgh gfhd hgdf
dhfh fdgd gfhf hgdg
dhgd fdhf gfdg hgfh
dhgf fdhg gfdh hgfd
dhgg fdhh gfdd hgff
dhgh fdhd gfdf hgfg
dhhd fddf gffg hggh
dhhf fddg gffh hggd
dhhg fddh gffd hggf
dhhh fddd gfff hggg
ffff gggg hhhh jjjj
fffg gggh hhhj jjjf
fffh gggj hhhf jjjg
fffj gggf hhhg jjjh
ffgf gghg hhjh jjfj
ffhf ggjg hhfh jjgj
ffjf ggfg hhgh jjhj
fgff ghgg hjhh jfjj
fhff gjgg hfhh jgjj
fjff gfgg hghh jhjj
ffgg gghh hhjj jjff
ffhh ggjj hhff jjgg
ffjj ggff hhgg jjhh
ffgh gghj hhjf jjfg
ffgj gghf hhjg jjfh
ffhg ggjh hhfj jjgf
ffhj ggjf hhfg jjgh
ffjg ggfh hhgj jjhf
ffjh ggfj hhgf jjhg
fgfg ghgh hjhj jfjf
fgfh ghgj hjhf jfjg
fgfj ghgf hjhg jfjh
fggf ghhg hjjh jffj
fggh ghhj hjjf jffg
fggj ghhf hjjg jffh
fggg ghhh hjjj jfff
fghf ghjh hjfj jfgf
fghg ghfh hjgj jfhf
fghh ghjj hjff jfgg
fghj ghjf hjfg jfgh
fgjf ghfg hjgh jfhj
fgjg ghfh hjgj jfhf
fgjh ghfj hjgf jfhg
fgjj ghff hjgg jfhh
fhfg gjgh hfhj jgjf
fhfh gjgj hfhf jgjg
fhfj gjgf hfhg jgjh
fhgf gjhg hfjh jgfj
fhgg gjhh hfjj jgff
fhgh gjhj hfjf jgfg
fhgj gjhf hfjg jgfh
fhhf gjjg hffh jggj
fhhg gjjh hffj jggf
fhhh gjjj hfff jggg
fhhj gjjf hffg jggh
fhjf gjfg hfgh jghj
fhjg gjfh hfgj jghf
fhjh gjfj hfgf jghg
fhjj gjff hfgg jghh
fjfg gfgh hghj jhjf
fjfh gfgj hghf jhjg
fjfj gfgf hghg jhjh
fjgf gfhg hgjh jhfj
fjgg gfhh hgjj jhff
fjgh gfhj hgjf jhfg
fjgj gfhf hgjg jhfh
fjhf gfjg hgfh jhgj
fjhg gfjh hgfj jhgf
fjhh gfjj hgff jhgg
fjhj gfjf hgfg jhgh
fjjf gffg hggh jhhj
fjjg gffh hggj jhhf
fjjh gffj hggf jhhg
fjjj gfff hggg jhhh
gggg hhhh jjjj kkkk
gggh hhhj jjjk kkkg
gggj hhhk jjjg kkkh
gggk hhhg jjjh kkkj
gghg hhjh jjkj kkgk
ggjg hhkh jjgj kkhk
ggkg hhgh jjhj kkjk
ghgg hjhh jkjj kgkk
gjgg hkhh jgjj khkk
gkgg hghh jhjj kjkk
gghh hhjj jjkk kkgg
ggjj hhkk jjgg kkhh
ggkk hhgg jjhh kkjj
gghj hhjk jjkg kkgh
gghk hhjg jjkh kkgj
ggjh hhkj jjgk kkhg
ggjk hhkg jjgh kkhj
ggkh hhgj jjhk kkjg
ggkj hhgk jjhg kkjh
ghgh hjhj jkjk kgkg
ghgj hjhk jkjg kgkh
ghgk hjhg jkjh kgkj
ghhg hjjh jkkj kggk
ghhj hjjk jkkg kggh
ghhk hjjg jkkh kggj
ghhh hjjj jkkk kggg
ghjg hjkj jkgk kghg
ghjh hjgj jkhk kgjg
ghjj hjkk jkgg kghh
ghjk hjkg jkgh kghj
ghkg hjgh jkhj kgjk
ghkh hjgj jkhk kgjg
ghkj hjgk jkhg kgjh
ghkk hjgg jkhh kgjj
gjgh hkhj jgjk khkg
gjgj hkhk jgjg khkh
gjgk hkhg jgjh khkj
gjhg hkjh jgkj khgk
gjhh hkjj jgkk khgg
gjhj hkjk jgkg khgh
gjhk hkjg jgkh khgj
gjjg hkkh jggj khhk
gjjh hkkj jggk khhg
gjjj hkkk jggg khhh
gjjk hkkg jggh khhj
gjkg hkgh jghj khjk
gjkh hkgj jghk khjg
gjkj hkgk jghg khjh
gjkk hkgg jghh khjj
gkgh hghj jhjk kjkg
gkgj hghk jhjg kjkh
gkgk hghg jhjh kjkj
gkhg hgjh jhkj kjgk
gkhh hgjj jhkk kjgg
gkhj hgjk jhkg kjgh
gkhk hgjg jhkh kjgj
gkjg hgkh jhgj kjhk
gkjh hgkj jhgk kjhg
gkjj hgkk jhgg kjhh
gkjk hgkg jhgh kjhj
gkkg hggh jhhj kjjk
gkkh hggj jhhk kjjg
gkkj hggk jhhg kjjh
gkkk hggg jhhh kjjj
hhhh jjjj kkkk llll
hhhj jjjk kkkl lllh
hhhk jjjl kkkh lllj
hhhl jjjh kkkj lllk
hhjh jjkj kklk llhl
hhkh jjlj kkhk lljl
hhlh jjhj kkjk llkl
hjhh jkjj klkk lhll
hkhh jljj khkk ljll
hlhh jhjj kjkk lkll
hhjj jjkk kkll llhh
hhkk jjll kkhh lljj
hhll jjhh kkjj llkk
hhjk jjkl kklh llhj
hhjl jjkh kklj llhk
hhkj jjlk kkhl lljh
hhkl jjlh kkhj lljk
hhlj jjhk kkjl llkh
hhlk jjhl kkjh llkj
hjhj jkjk klkl lhlh
hjhk jkjl klkh lhlj
hjhl jkjh klkj lhlk
hjjh jkkj kllk lhhl
hjjk jkkl kllh lhhj
hjjl jkkh kllj lhhk
hjjj jkkk klll lhhh
hjkh jklk klhl lhjh
hjkj jkhk kljl lhkh
hjkk jkll klhh lhjj
hjkl jklh klhj lhjk
hjlh jkhj kljk lhkl
hjlj jkhk kljl lhkh
hjlk jkhl kljh lhkj
hjll jkhh kljj lhkk
hkhj jljk khkl ljlh
hkhk jljl khkh ljlj
hkhl jljh khkj ljlk
hkjh jlkj khlk ljhl
hkjj jlkk khll ljhh
hkjk jlkl khlh ljhj
hkjl jlkh khlj ljhk
hkkh jllj khhk ljjl
hkkj jllk khhl ljjh
hkkk jlll khhh ljjj
hkkl jllh khhj ljjk
hklh jlhj khjk ljkl
hklj jlhk khjl ljkh
hklk jlhl khjh ljkj
hkll jlhh khjj ljkk
hlhj jhjk kjkl lklh
hlhk jhjl kjkh lklj
hlhl jhjh kjkj lklk
hljh jhkj kjlk lkhl
hljj jhkk kjll lkhh
hljk jhkl kjlh lkhj
hljl jhkh kjlj lkhk
hlkh jhlj kjhk lkjl
hlkj jhlk kjhl lkjh
hlkk jhll kjhh lkjj
hlkl jhlh kjhj lkjk
hllh jhhj kjjk lkkl
hllj jhhk kjjl lkkh
hllk jhhl kjjh lkkj
hlll jhhh kjjj lkkk
zzzz xxxx cccc vvvv
zzzx xxxc cccv vvvz
zzzc xxxv cccz vvvx
zzzv xxxz cccx vvvc
zzxz xxcx ccvc vvzv
zzcz xxvx cczc vvxv
zzvz xxzx ccxc vvcv
zxzz xcxx cvcc vzvv
zczz xvxx czcc vxvv
zvzz xzxx cxcc vcvv
zzxx xxcc ccvv vvzz
zzcc xxvv cczz vvxx
zzvv xxzz ccxx vvcc
zzxc xxcv ccvz vvzx
zzxv xxcz ccvx vvzc
zzcx xxvc cczv vvxz
zzcv xxvz cczx vvxc
zzvx xxzc ccxv vvcz
zzvc xxzv ccxz vvcx
zxzx xcxc cvcv vzvz
zxzc xcxv cvcz vzvx
zxzv xcxz cvcx vzvc
zxxz xccx cvvc vzzv
zxxc xccv cvvz vzzx
zxxv xccz cvvx vzzc
zxxx xccc cvvv vzzz
zxcz xcvc cvzv vzxz
zxcx xczc cvxv vzcz
zxcc xcvv cvzz vzxx
zxcv xcvz cvzx vzxc
zxvz xczx cvxc vzcv
zxvx xczc cvxv vzcz
zxvc xczv cvxz vzcx
zxvv xczz cvxx vzcc
zczx xvxc czcv vxvz
zczc xvxv czcz vxvx
zczv xvxz czcx vxvc
zcxz xvcx czvc vxzv
zcxx xvcc czvv vxzz
zcxc xvcv czvz vxzx
zcxv xvcz czvx vxzc
zccz xvvx czzc vxxv
zccx xvvc czzv vxxz
zccc xvvv czzz vxxx
zccv xvvz czzx vxxc
zcvz xvzx czxc vxcv
zcvx xvzc czxv vxcz
zcvc xvzv czxz vxcx
zcvv xvzz czxx vxcc
zvzx xzxc cxcv vcvz
zvzc xzxv cxcz vcvx
zvzv xzxz cxcx vcvc
zvxz xzcx cxvc vczv
zvxx xzcc cxvv vczz
zvxc xzcv cxvz vczx
zvxv xzcz cxvx vczc
zvcz xzvx cxzc vcxv
zvcx xzvc cxzv vcxz
zvcc xzvv cxzz vcxx
zvcv xzvz cxzx vcxc
zvvz xzzx cxxc vccv
zvvx xzzc cxxv vccz
zvvc xzzv cxxz vccx
zvvv xzzz cxxx vccc
xxxx cccc vvvv bbbb
xxxc cccv vvvb bbbx
xxxv cccb vvvx bbbc
xxxb cccx vvvc bbbv
xxcx ccvc vvbv bbxb
xxvx ccbc vvxv bbcb
xxbx ccxc vvcv bbvb
xcxx cvcc vbvv bxbb
xvxx cbcc vxvv bcbb
xbxx cxcc vcvv bvbb
xxcc ccvv vvbb bbxx
xxvv ccbb vvxx bbcc
xxbb ccxx vvcc bbvv
xxcv ccvb vvbx bbxc
xxcb ccvx vvbc bbxv
xxvc ccbv vvxb bbcx
xxvb ccbx vvxc bbcv
xxbc ccxv vvcb bbvx
xxbv ccxb vvcx bbvc
xcxc cvcv vbvb bxbx
xcxv cvcb vbvx bxbc
xcxb cvcx vbvc bxbv
xccx cvvc vbbv bxxb
xccv cvvb vbbx bxxc
xccb cvvx vbbc bxxv
xccc cvvv vbbb bxxx
xcvx cvbv vbxb bxcx
xcvc cvxv vbcb bxvx
xcvv cvbb vbxx bxcc
xcvb cvbx vbxc bxcv
xcbx cvxc vbcv bxvb
xcbc cvxv vbcb bxvx
xcbv cvxb vbcx bxvc
xcbb cvxx vbcc bxvv
xvxc cbcv vxvb bcbx
xvxv cbcb vxvx bcbc
xvxb cbcx vxvc bcbv
xvcx cbvc vxbv bcxb
